net_value,stocks_count,stock_price,action
1010.8302787447777,72,13.86,4096
997.1502787447778,72,13.67,4096
1001.116681870605,68,13.73,-4
1023.1145582205438,64,14.06,-4
1002.4601661842154,60,13.72,-4
994.3643392424165,73,13.61,4096
991.6126167893533,69,13.57,-4
997.0770142416769,72,13.66,4096
1028.7570142416769,72,14.1,4096
1018.5628564529281,68,13.96,-4
1014.0903598935995,64,13.9,-4
1003.4699480719107,68,13.75,4
1019.5577271128756,64,14.0,-4
1009.9862861533604,72,13.87,4096
1015.7462861533604,72,13.95,4096
1009.9862861533604,72,13.87,4096
1042.3862861533603,72,14.32,4096
1005.3016160100168,68,13.8,-4
1005.9691072244117,72,13.82,4096
1015.3291072244117,72,13.95,4096
1018.9291072244117,72,14.0,4096
1026.8491072244117,72,14.11,4096
1024.6891072244118,72,14.08,4096
1026.1291072244117,72,14.1,4096
1022.5291072244117,72,14.05,4096
1010.2891072244117,72,13.88,4096
998.2188251334802,68,13.71,-4
1016.4304611482318,72,13.97,4096
1026.5104611482316,72,14.11,4096
1011.9983035136462,68,13.9,-4
1034.5138786133873,64,14.25,-4
1022.0487631719104,72,14.05,4096
1008.167577841899,68,13.85,-4
1017.9422575466942,64,14.0,-4
1024.3382926559973,60,14.1,-4
1026.220654158687,56,14.14,-4
1039.217611418135,72,14.18,4096
1057.0930304386786,68,14.44,-4
1031.564471769559,73,14.07,4096
1021.1463020810316,69,13.92,-4
1043.1486386179113,73,14.24,4096
1025.6286386179113,73,14.0,512
1030.0086386179114,73,14.06,4096
1041.6886386179112,73,14.22,4096
1022.7086386179112,73,13.96,4096
1036.5223187416934,69,14.15,-4
1034.8387403207958,65,14.12,-4
1018.7384927519802,61,13.87,-4
1026.5272571927774,73,13.99,4096
1029.4472571927774,73,14.03,4096
1016.8647935813261,69,13.86,-4
1014.8860375448688,73,13.8344,4096
1014.5648375448689,73,13.83,4096
993.5733585032724,69,13.53,-4
1017.102933297466,65,13.87,-4
1020.3634580221265,61,13.93,-4
1022.5937555069629,57,13.98,-4
